,Date,Open,High,Low,Close,Volume
0,2019-01-02,20.406668,21.008667,19.92,20.674667,174879000
1,2019-01-03,20.466667,20.626667,19.825333,20.024,104478000
2,2019-01-04,20.4,21.200001,20.181999,21.179333,110911500
3,2019-01-07,21.448,22.449333,21.183332,22.330667,113268000
4,2019-01-08,22.797333,22.934,21.801332,22.356667,105127500
5,2019-01-09,22.366667,22.9,22.098,22.568666,81493500
6,2019-01-10,22.293333,23.025999,22.119333,22.997999,90846000
7,2019-01-11,22.806,23.227333,22.584667,23.150667,75586500
8,2019-01-14,22.825333,22.833332,22.266666,22.293333,78709500
9,2019-01-15,22.333332,23.253332,22.299999,22.962,90849000
10,2019-01-16,22.985332,23.466667,22.9,23.07,70375500
11,2019-01-17,23.080667,23.433332,22.943333,23.153999,55150500
13,2019-01-22,20.321333,20.533333,19.700001,19.927999,181000500
14,2019-01-23,19.5,19.633333,18.779333,19.172667,187950000
15,2019-01-24,18.868668,19.578667,18.618668,19.434,120183000
16,2019-01-25,19.625999,19.901333,19.303333,19.802668,108744000
17,2019-01-28,19.527332,19.830667,19.183332,19.758667,96349500
18,2019-01-29,19.684668,19.903999,19.453333,19.830667,69325500
19,2019-01-30,20.030001,20.6,19.899332,20.584667,168754500
20,2019-01-31,20.066668,20.770666,19.6,20.468,188538000
21,2019-02-01,20.361334,21.073334,20.233334,20.813999,109251000
22,2019-02-04,20.865334,21.02,20.125334,20.859333,110281500
23,2019-02-05,20.832666,21.496,20.816668,21.423332,101142000
24,2019-02-06,21.306,21.615999,21.041332,21.148001,75577500
25,2019-02-07,20.886667,20.98,20.200001,20.500668,97809000
26,2019-02-08,20.455334,20.496668,19.9,20.386667,87663000
27,2019-02-11,20.773333,21.24,20.700001,20.856001,106945500
28,2019-02-12,21.08,21.212667,20.641333,20.787333,82764000
29,2019-02-13,20.823334,20.85,20.371332,20.544666,77124000
30,2019-02-14,20.225332,20.451332,20.066668,20.251333,78012000
31,2019-02-15,20.299999,20.533333,20.26,20.525333,58573500
32,2019-02-19,20.437332,20.769333,20.364668,20.375999,62526000
33,2019-02-20,20.294001,20.42,19.933332,20.170668,107131500
34,2019-02-21,20.120667,20.216,19.366667,19.415333,133638000
35,2019-02-22,19.632668,19.766666,19.473333,19.647333,86109000
36,2019-02-25,19.860666,20.193333,19.799999,19.917999,99397500
37,2019-02-26,19.481333,20.134001,19.251333,19.857332,128737500
38,2019-02-27,20.118668,21.086666,20.036667,20.982668,167758500
39,2019-02-28,21.261333,21.333332,20.720667,21.325333,157810500
40,2019-03-01,20.462667,20.475332,19.459999,19.652666,343671000
41,2019-03-04,19.874666,19.933332,18.851999,19.024,256452000
42,2019-03-05,18.799999,18.933332,18.006666,18.436001,281470500
43,2019-03-06,18.431999,18.767332,18.292667,18.416,155032500
44,2019-03-07,18.589333,18.98,18.283333,18.439333,141637500
45,2019-03-08,18.460667,19.039333,18.392668,18.942667,132294000
46,2019-03-11,18.901333,19.418667,18.700001,19.394667,110884500
47,2019-03-12,19.099333,19.204666,18.737333,18.890667,112561500
48,2019-03-13,18.926666,19.466,18.846666,19.264,102670500
49,2019-03-14,19.496668,19.692667,19.219334,19.330667,106551000
50,2019-03-15,18.900667,18.914667,18.293333,18.362,221782500
